user_message,crisis_label,severity_level,suggested_helpline_id
Someone is stalking me.,Women Safety,3,women_1091
Call the fire brigade! apartment is burning.,Fire Emergency,5,fire_101
"I think I am being touching, he is following me.",Women Safety,4,women_1091
"My friend is talking about jumping off, I'm scared.",Mental Health Crisis,4,mental_health
"Need ambulance immediately at highway, bus accident.",Road Accident,4,ambulance_108
He is drunk and threatening me and the kids.,Domestic Violence,3,women_1091
"Urgent. I am scared of my husband, he is throwing things at me.",Domestic Violence,4,women_1091
"I think I am being chasing, he is following me.",Women Safety,5,women_1091
"I want to ending my life, I can't take it anymore.",Mental Health Crisis,3,mental_health
Urgent. Someone is threatening me.,Women Safety,5,women_1091
"Lost child found at railway station, looks lost.",Child Helpline,5,child_1098
"Two cars crashed, people are not moving.",Road Accident,4,ambulance_108
Help! I found a baby who is crying at shop.,Child Helpline,3,child_1098
Urgent. Someone is threatening me.,Women Safety,4,women_1091
Help! My photos are being shared on internet.,Cyber Crime,2,cyber_1930
I am being chasing by a man at dark street. Need help now.,Women Safety,5,women_1091
"Please help. Lost child found at shop, looks lost.",Child Helpline,3,child_1098
"Having severe breakdown, please help.",Mental Health Crisis,3,mental_health
"Please save me, my husband is trying to throwing things at me.",Domestic Violence,3,women_1091
"Need help immediately at the bus stop, driver is trying to touching me. Need help now.",Women Safety,5,women_1091
"Reporting child labor at shop, little boy is working there. I am scared.",Child Helpline,5,child_1098
"Fire broke out in the office, people are trapped.",Fire Emergency,5,fire_101
"Need ambulance immediately at crossing, car accident.",Road Accident,4,ambulance_108
"Bad accident on the main road, stuck inside.",Road Accident,5,ambulance_108
"My friend is talking about suicide, I'm scared. Call police.",Mental Health Crisis,4,mental_health
"Need ambulance immediately at junction, bike accident.",Road Accident,5,ambulance_108
"Reporting a phishing link scam, they stole my identity.",Cyber Crime,1,cyber_1930
Urgent. I found a little girl who is bruised at factory.,Child Helpline,3,child_1098
I am being chasing by a guy at office. Need help now.,Women Safety,3,women_1091
"I think I am being harassing, he is following me.",Women Safety,5,women_1091
"Please help, I am alone and driver is stalking me. Call police.",Women Safety,4,women_1091
"Need ambulance immediately at junction, truck accident.",Road Accident,4,ambulance_108
A truck hit a pedestrian at bridge. Need help now.,Road Accident,5,ambulance_108
"Please help. I suspect child abuse next door, the baby is always hungry.",Child Helpline,5,child_1098
"Help! Need ambulance immediately at main road, car accident.",Road Accident,4,ambulance_108
"Domestic violence happening at my neighbor's house, he is hitting her.",Domestic Violence,4,women_1091
My brother-in-law is threatening me.,Domestic Violence,4,women_1091
"Lost child found at factory, looks injured.",Child Helpline,3,child_1098
I feel depressed and nobody cares.,Mental Health Crisis,3,mental_health
"Please help, I am alone and group of men is harassing me.",Women Safety,3,women_1091
"Two cars crashed, people are injured.",Road Accident,5,ambulance_108
"Bad accident on the crossing, injured. Need help now.",Road Accident,4,ambulance_108
Someone hacked my instagram.,Cyber Crime,3,cyber_1930
"Fire broke out in the market, people are trapped.",Fire Emergency,5,fire_101
"I suspect child abuse next door, the minor is always crying.",Child Helpline,4,child_1098
"Bad accident on the crossing, not moving.",Road Accident,4,ambulance_108
"Please help, I am alone and driver is abusing me.",Women Safety,3,women_1091
"Two cars crashed, people are bleeding heavily.",Road Accident,4,ambulance_108
A bus hit a pedestrian at junction.,Road Accident,5,ambulance_108
I am being harassing by a driver at metro station. Need help now.,Women Safety,4,women_1091
I am being harassing by a man at dark street.,Women Safety,3,women_1091
"Everything feels painful, I just want to taking pills. I am scared.",Mental Health Crisis,5,mental_health
"Domestic violence happening at my neighbor's house, he is locking her.",Domestic Violence,5,women_1091
"Hit and run case at crossing, victim is stuck inside.",Road Accident,5,ambulance_108
A man is stalking me and I feel unsafe.,Women Safety,5,women_1091
"Lost child found at factory, looks hungry. Call police.",Child Helpline,4,child_1098
"Having severe hallucinations, please help. Call police.",Mental Health Crisis,3,mental_health
"Bad accident on the junction, not moving.",Road Accident,4,ambulance_108
"Emergency! Hit and run case at junction, victim is unconscious.",Road Accident,5,ambulance_108
"Bad accident on the junction, stuck inside. Please hurry.",Road Accident,4,ambulance_108
"My friend is talking about cutting myself, I'm scared.",Mental Health Crisis,4,mental_health
"Urgent. Hit and run case at bridge, victim is unconscious.",Road Accident,5,ambulance_108
"Hit and run case at highway, victim is unconscious. I am scared.",Road Accident,5,ambulance_108
"Emergency! I need someone to talk to, I am anxious. Call police.",Mental Health Crisis,5,mental_health
There is a spreading fire at building!,Fire Emergency,5,fire_101
"Reporting child labor at railway station, kid is working there. Please hurry.",Child Helpline,3,child_1098
Electric short circuit caused a fire in school.,Fire Emergency,5,fire_101
"Please help. Bad accident on the junction, bleeding heavily.",Road Accident,5,ambulance_108
"I want to jumping off, I can't take it anymore.",Mental Health Crisis,4,mental_health
"I think I am being touching, he is following me.",Women Safety,3,women_1091
"Please save me, my partner is trying to abusing me. Please hurry.",Domestic Violence,3,women_1091
"Reporting a phishing link scam, they stole my details.",Cyber Crime,2,cyber_1930
"Reporting child labor at railway station, little boy is working there. Call police.",Child Helpline,5,child_1098
Urgent. Someone shared my phone. Need help now.,Cyber Crime,2,cyber_1930
"Urgent. I suspect child abuse next door, the minor is always bruised.",Child Helpline,3,child_1098
I feel worthless and want to end it all.,Mental Health Crisis,4,mental_health
I received a phishing link asking for password.,Cyber Crime,3,cyber_1930
"Please save me, my brother-in-law is trying to throwing things at me.",Domestic Violence,3,women_1091
My photos are being shared on internet.,Cyber Crime,3,cyber_1930
There is a huge fire at market!,Fire Emergency,5,fire_101
"Need ambulance immediately at crossing, bike accident.",Road Accident,4,ambulance_108
Help! There is a spreading fire at market! Please hurry.,Fire Emergency,5,fire_101
"Having severe anxiety, please help.",Mental Health Crisis,4,mental_health
"I think I am being abusing, he is following me.",Women Safety,5,women_1091
"I want to suicide, I can't take it anymore.",Mental Health Crisis,5,mental_health
He is drunk and threatening me and the kids. Need help now.,Domestic Violence,5,women_1091
A bike hit a child at junction.,Road Accident,5,ambulance_108
"Two cars crashed, people are bleeding heavily.",Road Accident,5,ambulance_108
"Lost child found at shop, looks crying.",Child Helpline,4,child_1098
"I suspect child abuse next door, the baby is always scared. Please hurry.",Child Helpline,4,child_1098
"I want to killing myself, I can't take it anymore.",Mental Health Crisis,5,mental_health
"Domestic violence happening at my neighbor's house, he is threatening her.",Domestic Violence,3,women_1091
Please help. Call the fire brigade! school is burning.,Fire Emergency,5,fire_101
My photos are being leaked on telegram.,Cyber Crime,1,cyber_1930
"Need ambulance immediately at junction, truck accident.",Road Accident,5,ambulance_108
"Please help. My friend is talking about killing myself, I'm scared. Please hurry.",Mental Health Crisis,4,mental_health
"Lost child found at temple, looks bruised.",Child Helpline,4,child_1098
Please help. My brother-in-law is locking me.,Domestic Violence,5,women_1091
Someone is harassing me. Please hurry.,Women Safety,4,women_1091
"Need ambulance immediately at bridge, truck accident.",Road Accident,5,ambulance_108
"Domestic violence happening at my neighbor's house, he is beating her.",Domestic Violence,4,women_1091
"Everything feels unbearable, I just want to jumping off. Need help now.",Mental Health Crisis,3,mental_health
"Urgent. Reporting child labor at factory, kid is working there. Need help now.",Child Helpline,4,child_1098
"Emergency! Fire broke out in the market, people are trapped.",Fire Emergency,5,fire_101
"Having severe panic attacks, please help.",Mental Health Crisis,5,mental_health
I am extremely trapped and thinking of suicide.,Mental Health Crisis,4,mental_health
Someone leaked my instagram.,Cyber Crime,3,cyber_1930
"Hit and run case at highway, victim is not moving.",Road Accident,4,ambulance_108
"I need someone to talk to, I am worthless. Call police.",Mental Health Crisis,5,mental_health
I am being threatening by a man at park.,Women Safety,5,women_1091
"Please help. Reporting a fraud message scam, they stole my OTP.",Cyber Crime,3,cyber_1930
My photos are being shared on telegram.,Cyber Crime,2,cyber_1930
I am being stalking by a guy at dark street.,Women Safety,4,women_1091
I see flames coming from the office.,Fire Emergency,5,fire_101
"Emergency! Need help immediately at metro station, group of men is trying to touching me.",Women Safety,5,women_1091
"Need ambulance immediately at crossing, car accident.",Road Accident,4,ambulance_108
Help! My father is locking me.,Domestic Violence,3,women_1091
"Help! I suspect child abuse next door, the minor is always injured.",Child Helpline,4,child_1098
My photos are being hacked on internet.,Cyber Crime,1,cyber_1930
"Need help immediately at the bus stop, guy is trying to stalking me. Call police.",Women Safety,3,women_1091
I am extremely anxious and thinking of jumping off. Call police.,Mental Health Crisis,5,mental_health
Electric short circuit caused a fire in market. I am scared.,Fire Emergency,5,fire_101
I am being abusing by a stranger at park. Call police.,Women Safety,3,women_1091
Someone is abusing me. Call police.,Women Safety,4,women_1091
Emergency! He is drunk and throwing things at me and the kids.,Domestic Violence,5,women_1091
"Need help immediately at cab, driver is trying to touching me.",Women Safety,4,women_1091
"I think I am being following, he is following me.",Women Safety,3,women_1091
"Please help. Need ambulance immediately at junction, bus accident.",Road Accident,5,ambulance_108
"Bad accident on the main road, unconscious.",Road Accident,4,ambulance_108
"Bad accident on the main road, stuck inside. I am scared.",Road Accident,4,ambulance_108
"I am scared of my husband, he is locking me.",Domestic Violence,4,women_1091
I found a minor who is hungry at park.,Child Helpline,4,child_1098
"Domestic violence happening at my neighbor's house, he is throwing things at her. I am scared.",Domestic Violence,4,women_1091
"Need ambulance immediately at crossing, bike accident. Please hurry.",Road Accident,4,ambulance_108
He is drunk and locking me and the kids.,Domestic Violence,3,women_1091
Lost money from my bank account due to phishing link. Need help now.,Cyber Crime,3,cyber_1930
I found a minor who is scared at temple.,Child Helpline,5,child_1098
"I need someone to talk to, I am lonely.",Mental Health Crisis,5,mental_health
Someone is harassing me.,Women Safety,5,women_1091
A car hit a old man at crossing. Please hurry.,Road Accident,4,ambulance_108
"Reporting a fraud message scam, they stole my money.",Cyber Crime,3,cyber_1930
"Need ambulance immediately at crossing, truck accident.",Road Accident,5,ambulance_108
Emergency! There is a huge fire at apartment!,Fire Emergency,5,fire_101
"I think I am being chasing, he is following me.",Women Safety,5,women_1091
Urgent. Lost money from my bank account due to fake call.,Cyber Crime,3,cyber_1930
"Everything feels unbearable, I just want to suicide.",Mental Health Crisis,5,mental_health
"I am scared of my partner, he is throwing things at me. Need help now.",Domestic Violence,4,women_1091
"Fire broke out in the school, people are trapped. I am scared.",Fire Emergency,5,fire_101
"Reporting a fraud message scam, they stole my OTP.",Cyber Crime,1,cyber_1930
"Reporting child labor at factory, minor is working there.",Child Helpline,5,child_1098
"Please save me, my brother-in-law is trying to threatening me.",Domestic Violence,4,women_1091
"I want to killing myself, I can't take it anymore. Call police.",Mental Health Crisis,4,mental_health
"I think I am being chasing, he is following me.",Women Safety,5,women_1091
A truck hit a pedestrian at highway.,Road Accident,5,ambulance_108
Help! There is a massive fire at school!,Fire Emergency,5,fire_101
There is a massive fire at market!,Fire Emergency,5,fire_101
My photos are being shared on whatsapp. Please hurry.,Cyber Crime,3,cyber_1930
"I suspect child abuse next door, the little boy is always injured. I am scared.",Child Helpline,3,child_1098
Lost money from my bank account due to phishing link.,Cyber Crime,2,cyber_1930
A man is following me and I feel unsafe.,Women Safety,4,women_1091
"Need ambulance immediately at junction, truck accident.",Road Accident,5,ambulance_108
Please help. There is a massive fire at factory!,Fire Emergency,5,fire_101
"Having severe anxiety, please help.",Mental Health Crisis,3,mental_health
"Need help immediately at metro station, man is trying to stalking me.",Women Safety,3,women_1091
Electric short circuit caused a fire in factory.,Fire Emergency,5,fire_101
My father is locking me.,Domestic Violence,3,women_1091
"Urgent. I think I am being abusing, he is following me.",Women Safety,4,women_1091
Lost money from my bank account due to fraud message.,Cyber Crime,2,cyber_1930
"Emergency! Need help immediately at metro station, stranger is trying to harassing me.",Women Safety,5,women_1091
"Bad accident on the junction, stuck inside.",Road Accident,4,ambulance_108
A bus hit a pedestrian at bridge. I am scared.,Road Accident,5,ambulance_108
"Reporting child labor at park, little boy is working there.",Child Helpline,5,child_1098
"Hit and run case at crossing, victim is injured.",Road Accident,5,ambulance_108
"Urgent. I need someone to talk to, I am lonely.",Mental Health Crisis,4,mental_health
Help! My photos are being blocked on whatsapp.,Cyber Crime,3,cyber_1930
Urgent. He is drunk and abusing me and the kids.,Domestic Violence,3,women_1091
He is drunk and beating me and the kids.,Domestic Violence,3,women_1091
I feel worthless and want to end it all.,Mental Health Crisis,5,mental_health
"Two cars crashed, people are not moving. I am scared.",Road Accident,4,ambulance_108
